Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out1_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
129,129,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
130,130,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
131,131,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
132,132,0,0,000000000000000000000000000111100000000000000000000000000001111000000000000000000000000000011110
133,133,0,0,000000000000000000000000001001000000000000000000000000000010010000000000000000000000000000100100
134,134,0,0,000000000000000000000000001010100000000000000000000000000010101000000000000000000000000000101010
135,135,0,0,000000000000000000000000001110100000000000000000000000000011101000000000000000000000000000111010
136,136,0,0,000000000000000000000000010101100000000000000000000000000101011000000000000000000000000001010110
137,137,0,0,000000000000000000000000010101000000000000000000000000000101010000000000000000000000000001010100
138,138,0,0,000000000000000000000000010110100000000000000000000000000101101000000000000000000000000001011010
139,139,0,0,000000000000000000000000010010100000000000000000000000000100101000000000000000000000000001001010
140,140,0,0,000000000000000000000000001110000000000000000000000000000011100000000000000000000000000000111000
141,141,0,0,000000000000000000000000000111100000000000000000000000000001111000000000000000000000000000011110
142,142,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
143,143,0,0,000000000000000000000000000101100000000000000000000000000001011000000000000000000000000000010110
144,144,0,0,000000000000000000000000001000100000000000000000000000000010001000000000000000000000000000100010
145,145,0,0,000000000000000000000000000100100000000000000000000000000001001000000000000000000000000000010010
146,146,0,0,000000000000000000000000000110100000000000000000000000000001101000000000000000000000000000011010
147,147,0,0,000000000000000000000000000101100000000000000000000000000001011000000000000000000000000000010110
148,148,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
149,149,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
150,150,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
151,151,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
152,152,0,0,000000000000000000000000000100100000000000000000000000000001001000000000000000000000000000010010
153,153,0,0,000000000000000000000000000101100000000000000000000000000001011000000000000000000000000000010110
154,154,0,0,000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000
155,155,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
156,156,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
157,157,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
158,158,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
159,159,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
160,160,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
161,161,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
162,162,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
163,163,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
164,164,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
165,165,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
166,166,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
167,167,0,0,000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000
168,168,0,0,000000000000000000000000000100100000000000000000000000000001001000000000000000000000000000010010
169,169,0,0,000000000000000000000000000101100000000000000000000000000001011000000000000000000000000000010110
170,170,0,0,000000000000000000000000000101100000000000000000000000000001011000000000000000000000000000010110
171,171,0,0,000000000000000000000000000101000000000000000000000000000001010000000000000000000000000000010100
172,172,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
173,173,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
174,174,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
175,175,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
176,176,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
177,177,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
178,178,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
179,179,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
180,180,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
181,181,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
182,182,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
183,183,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
184,184,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
185,185,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
186,186,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
187,187,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
188,188,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
189,189,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
190,190,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
191,191,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
192,192,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
193,193,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
194,194,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
195,195,0,0,000000000000000000000000000101000000000000000000000000000001010000000000000000000000000000010100
196,196,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
197,197,0,0,000000000000000000000000000100100000000000000000000000000001001000000000000000000000000000010010
198,198,0,0,000000000000000000000000000111000000000000000000000000000001110000000000000000000000000000011100
199,199,0,0,000000000000000000000000001001100000000000000000000000000010011000000000000000000000000000100110
200,200,0,0,000000000000000000000000001001000000000000000000000000000010010000000000000000000000000000100100
201,201,0,0,000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000
202,202,0,0,000000000000000000000000000110000000000000000000000000000001100000000000000000000000000000011000
203,203,0,0,000000000000000000000000000111000000000000000000000000000001110000000000000000000000000000011100
204,204,0,0,000000000000000000000000001010000000000000000000000000000010100000000000000000000000000000101000
205,205,0,0,000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000
206,206,0,0,000000000000000000000000001000100000000000000000000000000010001000000000000000000000000000100010
207,207,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
208,208,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
