Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out2_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
255,255,0,0,000000000000000000000000001111100000000000000000000000000111101000000000000000000000000000000000
256,256,0,0,000000000000000000000000001111100000000000000000000000000111101000000000000000000000000000000000
257,257,0,0,000000000000000000000000001111100000000000000000000000000111101000000000000000000000000000000000
258,258,0,0,000000000000000000000000001111100000000000000000000000000111101000000000000000000000000000000000
259,259,0,0,000000000000000000000000001111100000000000000000000000000111101000000000000000000000000000000000
260,260,0,0,000000000000000000000000001111000000000000000000000000000111001100000000000000000000000000000000
261,261,0,0,000000000000000000000000001111000000000000000000000000000111001100000000000000000000000000000000
262,262,0,0,000000000000000000000000001111000000000000000000000000000111001100000000000000000000000000000000
263,263,0,0,000000000000000000000000001111000000000000000000000000000111001100000000000000000000000000000000
264,264,0,0,000000000000000000000000001111000000000000000000000000000111001100000000000000000000000000000000
265,265,0,0,000000000000000000000000001111010000000000000000000000000110101000000000000000000000000000000000
266,266,0,0,000000000000000000000000001111010000000000000000000000000110101000000000000000000000000000000000
267,267,0,0,000000000000000000000000001111010000000000000000000000000110101000000000000000000000000000000000
268,268,0,0,000000000000000000000000001111010000000000000000000000000110101000000000000000000000000000000000
269,269,0,0,000000000000000000000000001111010000000000000000000000000110101000000000000000000000000000000000
270,270,0,0,000000000000000000000000001111110000000000000000000000000110011100000000000000000000000000000000
271,271,0,0,000000000000000000000000001111110000000000000000000000000110011100000000000000000000000000000000
272,272,0,0,000000000000000000000000001111110000000000000000000000000110011100000000000000000000000000000000
273,273,0,0,000000000000000000000000001111110000000000000000000000000110011100000000000000000000000000000000
274,274,0,0,000000000000000000000000001111110000000000000000000000000110011100000000000000000000000000000010
275,275,0,0,000000000000000000000000010000110000000000000000000000000101011100000000000000000000000000000010
276,276,0,0,000000000000000000000000010000110000000000000000000000000101011100000000000000000000000000000010
277,277,0,0,000000000000000000000000010000110000000000000000000000000101011100000000000000000000000000000010
278,278,0,0,000000000000000000000000010000110000000000000000000000000101011100000000000000000000000000000010
279,279,0,0,000000000000000000000000010000110000000000000000000000000101011100000000000000000000000000000111
280,280,0,0,000000000000000000000000001111100000000000000000000000000100100000000000000000000000000000000111
281,281,0,0,000000000000000000000000001111100000000000000000000000000100100000000000000000000000000000000111
282,282,0,0,000000000000000000000000001111100000000000000000000000000100100000000000000000000000000000000111
283,283,0,0,000000000000000000000000001111100000000000000000000000000100100000000000000000000000000000000111
284,284,0,0,000000000000000000000000001111100000000000000000000000000100100000000000000000000000000000000011
285,285,0,0,000000000000000000000000010001000000000000000000000000000100100100000000000000000000000000000011
286,286,0,0,000000000000000000000000010001000000000000000000000000000100100100000000000000000000000000000011
287,287,0,0,000000000000000000000000010001000000000000000000000000000100100100000000000000000000000000000011
288,288,0,0,000000000000000000000000010001000000000000000000000000000100100100000000000000000000000000000011
289,289,0,0,000000000000000000000000010001000000000000000000000000000100100100000000000000000000000000000000
290,290,0,0,000000000000000000000000010100010000000000000000000000000100011100000000000000000000000000000000
291,291,0,0,000000000000000000000000010100010000000000000000000000000100011100000000000000000000000000000000
292,292,0,0,000000000000000000000000010100010000000000000000000000000100011100000000000000000000000000000000
293,293,0,0,000000000000000000000000010100010000000000000000000000000100011100000000000000000000000000000000
294,294,0,0,000000000000000000000000010100010000000000000000000000000100011100000000000000000000000000000000
295,295,0,0,000000000000000000000000010100000000000000000000000000000100101100000000000000000000000000000000
296,296,0,0,000000000000000000000000010100000000000000000000000000000100101100000000000000000000000000000000
297,297,0,0,000000000000000000000000010100000000000000000000000000000100101100000000000000000000000000000000
298,298,0,0,000000000000000000000000010100000000000000000000000000000100101100000000000000000000000000000000
